STATION,NAME,DATE,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-CLDD-NORMAL,MLY-DUTR-NORMAL,MLY-DUTR-STDDEV,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-PRCP-50PCTL,MLY-PRCP-75PCTL,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-PRCP-NORMAL,MLY-SNOW-25PCTL,MLY-SNOW-50PCTL,MLY-SNOW-75PCTL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-NORMAL,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-SNWD-AVGNDS-GE010WI,MLY-TAVG-NORMAL,MLY-TAVG-STDDEV,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-LSTH032,MLY-TMAX-NORMAL,MLY-TMAX-STDDEV,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TMIN-NORMAL,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-TMIN-STDDEV,MONTH
USW00094290,"SEATTLE SAND PT WSFO, WA US",1,27,3,-7777,-7777,0,0,0,0,10.2,1.4,104,27,3,-7777,-7777,0,0,0,0,28,16,39,117,247,400,462,555,710,3.29,4.99,6.07,18.5,12.1,3.1,0.7,4.81,0,0,0,0.6,0.3,0,0,0,0.4,0.2,0,0,0,42.1,2.2,279,10.1,2,0,0,0,0,0.3,47.2,2.4,0,0,1,6.4,203,309,310,310,37,64,129,317,709,959,1000,2.3,Jan
USW00094290,"SEATTLE SAND PT WSFO, WA US",2,31,3,-7777,-7777,0,0,0,0,13.1,1.8,116,31,3,-7777,-7777,0,0,0,0,47,31,19,75,186,323,379,463,603,2.09,3.08,4.44,14.1,7.6,1.4,0.1,3.31,0,0,0,0.4,0.2,0.1,0,0,0.6,0.3,0.1,0,0,43.4,2.3,269,13.3,14,0,0,0,0,0,50,2.4,0,0,1,5,190,280,280,280,36.9,15,76,273,616,917,1000,2.6,Feb
USW00094290,"SEATTLE SAND PT WSFO, WA US",3,81,16,2,-7777,-7777,0,0,0,14.5,1.2,207,81,16,2,-7777,-7777,0,0,0,97,72,4,33,123,263,324,417,572,2.6,3.46,3.93,17.1,10.1,1.7,0.4,3.51,0,0,0,0.1,0,0,0,0,-7777,0,0,0,0,46.6,2,308,23,45,3,0,0,0,0,53.8,2.4,0,0,0,1.6,173,310,310,310,39.3,0,20,41,152,670,986,1.8,Mar
USW00094290,"SEATTLE SAND PT WSFO, WA US",4,169,58,12,6,1,0,0,-7777,16,1.7,315,169,58,12,6,1,-7777,0,0,160,130,-7777,4,43,147,200,286,435,2.1,2.68,2.94,15,8.2,1.3,0.1,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,50.5,1.6,300,28.4,105,12,1,0,0,0,58.5,2,0,0,0,-7777,80,293,300,300,42.5,0,0,0,0,114,711,1.5,Apr
USW00094290,"SEATTLE SAND PT WSFO, WA US",5,343,193,78,49,21,-7777,-7777,3,16.5,1.8,497,343,193,78,49,21,3,-7777,-7777,277,234,0,-7777,5,46,78,144,281,1.34,1.95,2.91,12.5,6.5,1,0.1,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2.2,310,30.9,222,63,8,0,0,0,64.3,2.8,0,0,0,0,12,214,310,310,47.8,0,0,0,0,0,58,1.9,May
USW00094290,"SEATTLE SAND PT WSFO, WA US",6,480,330,184,130,65,2,1,14,17.4,1.8,630,480,330,184,130,65,14,2,1,392,336,0,0,-7777,4,10,35,134,1.04,1.54,2.25,9.9,4.8,0.7,0.1,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1.8,300,30,284,131,21,-7777,0,0,69.7,2.5,0,0,0,0,0,74,297,300,52.3,0,0,0,0,0,0,1.2,Jun
USW00094290,"SEATTLE SAND PT WSFO, WA US",7,648,493,338,276,185,15,8,65,19.6,2.5,803,648,493,338,276,185,65,15,8,551,490,0,0,0,-7777,-7777,2,37,0.3,0.72,1.1,5.8,2.1,0.2,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,65.9,1.8,310,31,309,248,76,0.7,-7777,0,75.7,2.9,0,0,0,0,0,3,278,310,56.1,0,0,0,0,0,0,1.2,Jul
USW00094290,"SEATTLE SAND PT WSFO, WA US",8,668,513,358,296,204,14,6,75,19.5,1.5,823,668,513,358,296,204,75,14,6,572,511,0,0,0,-7777,-7777,1,27,0.33,0.6,1.24,5.7,3,0.6,0.1,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,66.5,1.4,310,31,310,262,83,0.4,0,0,76.3,1.8,0,0,0,0,0,4,263,310,56.8,0,0,0,0,0,0,1.3,Aug
USW00094290,"SEATTLE SAND PT WSFO, WA US",9,498,348,202,149,83,2,1,19,18.2,1.9,648,498,348,202,149,83,19,2,1,412,358,0,0,-7777,4,11,35,121,0.64,1.67,2.06,7.8,4,0.8,-7777,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,61.6,1.7,300,30,286,159,27,0.1,0,0,70.7,2.3,0,0,0,0,0,75,296,300,52.5,0,0,0,0,0,0,1.5,Sep
USW00094290,"SEATTLE SAND PT WSFO, WA US",10,260,123,35,17,4,-7777,0,-7777,13.7,1.5,412,260,123,35,17,4,-7777,-7777,0,207,167,-7777,3,21,88,132,212,363,2.03,3.41,4.41,13.2,7.8,2,0.3,3.41,0,0,0,0,0,0,0,0,0,0,0,0,0,53.3,1.8,310,29.7,148,17,2,0,0,0,60.1,2,0,0,0,0.1,24,236,310,310,46.5,0,0,0,2,58,349,1.8,Oct
USW00094290,"SEATTLE SAND PT WSFO, WA US",11,78,18,2,1,-7777,0,0,0,10.4,1.6,195,78,18,2,1,-7777,0,0,0,66,43,9,42,132,266,325,414,564,4.53,5.42,7.17,18.5,12.6,3.8,1,5.84,0,0,0,0.1,0.1,0.1,0,0,0.3,0.2,0,0,0,46.2,2.9,296,18.6,12,-7777,0,0,0,0.1,51.4,2.9,0,0,1,1.9,123,285,300,300,41,3,21,75,224,566,960,3,Nov
USW00094290,"SEATTLE SAND PT WSFO, WA US",12,18,1,-7777,0,0,0,0,0,9.6,1.2,84,18,1,-7777,0,0,0,0,0,18,9,50,139,277,431,493,586,741,3.94,5.06,6.97,18.8,11.8,3.2,1.1,5.43,0,0,2,0.9,0.6,0.3,0.2,0,2.3,1.6,1,0.5,0,41.1,2.2,272,7.2,-7777,0,0,0,0,0.6,45.9,2.3,0,-7777,6,6.4,228,310,310,310,36.3,84,174,376,729,980,1000,2.3,Dec
