Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Afghanistan ,ASIA (EX. NEAR EAST)         ,"31,056,997","647,500",48.00,0.00,23.06,163.07,700,36.00,3.20,12.13,0.22,87.65,1.00,46.60,20.34,0.38,0.24,0.38
Albania ,EASTERN EUROPE                     ,"3,581,655","28,748",124.60,1.26,-4.93,21.52,"4,500",86.50,71.20,21.09,4.42,74.49,3.00,15.11,5.22,232.00,188.00,579.00
Algeria ,NORTHERN AFRICA                    ,"32,930,091","2,381,740",13.80,0.04,-0.39,31.00,"6,000",70.00,78.10,3.22,0.25,96.53,1.00,17.14,4.61,101.00,0.60,298.00
American Samoa ,OCEANIA                            ,"57,794",199,290.40,58.29,-20.71,9.27,"8,000",97.00,259.50,10.00,15.00,75.00,2.00,22.46,3.27,,,
Andorra ,WESTERN EUROPE                     ,"71,201",468,152.10,0.00,6.60,4.05,"19,000",100.00,497.20,2.22,0.00,97.78,3.00,8.71,6.25,,,
Angola ,SUB-SAHARAN AFRICA                 ,"12,127,071","1,246,700",9.70,0.13,0.00,191.19,"1,900",42.00,7.80,2.41,0.24,97.35,,45.11,24.20,96.00,658.00,246.00
Anguilla ,LATIN AMER. & CARIB    ,"13,477",102,132.10,59.80,10.76,21.03,"8,600",95.00,460.00,0.00,0.00,100.00,2.00,14.17,5.34,0.04,0.18,0.78
Antigua & Barbuda ,LATIN AMER. & CARIB    ,"69,108",443,156.00,34.54,-6.15,19.46,"11,000",89.00,549.90,18.18,4.55,77.27,2.00,16.93,5.37,38.00,0.22,743.00
Argentina ,LATIN AMER. & CARIB    ,"39,921,833","2,766,890",14.40,0.18,0.61,15.18,"11,200",97.10,220.40,12.31,0.48,87.21,3.00,16.73,7.55,95.00,358.00,547.00
Armenia ,C.W. OF IND. STATES ,"2,976,372","29,800",99.90,0.00,-6.47,23.28,"3,500",98.60,195.70,17.55,2.30,80.15,4.00,12.07,8.23,239.00,343.00,418.00
Aruba ,LATIN AMER. & CARIB    ,"71,891",193,372.50,35.49,0.00,5.89,"28,000",97.00,516.10,10.53,0.00,89.47,2.00,11.03,6.68,4.00,333.00,663.00
Australia ,OCEANIA                            ,"20,264,082","7,686,850",2.60,0.34,3.98,4.69,"29,000",100.00,565.50,6.55,0.04,93.41,1.00,12.14,7.51,38.00,262.00,0.70
Austria ,WESTERN EUROPE                     ,"8,192,880","83,870",97.70,0.00,2.00,4.66,"30,000",98.00,452.20,16.91,0.86,82.23,3.00,8.74,9.76,18.00,304.00,678.00
Azerbaijan ,C.W. OF IND. STATES ,"7,961,619","86,600",91.90,0.00,-4.90,81.74,"3,400",97.00,137.10,19.63,2.71,77.66,1.00,20.74,9.75,141.00,457.00,402.00
"Bahamas, The ",LATIN AMER. & CARIB    ,"303,770","13,940",21.80,25.41,-2.20,25.21,"16,700",95.60,460.60,0.80,0.40,98.80,2.00,17.57,9.05,0.03,0.07,0.90
Bahrain ,NEAR EAST                          ,"698,585",665,"1,050.50",24.21,1.05,17.27,"16,900",89.10,281.30,2.82,5.63,91.55,1.00,17.80,4.14,5.00,387.00,608.00
Bangladesh ,ASIA (EX. NEAR EAST)         ,"147,365,352","144,000","1,023.40",0.40,-0.71,62.60,"1,900",43.10,7.30,62.11,3.07,34.82,2.00,29.80,8.27,199.00,198.00,603.00
