,Music,Techno,Movies,History,Mathematics,Pets,Spiders,Loneliness,Parents Advice,Internet usage,Finances,Age,Siblings,Gender,Village - town
0,5,1,5,1,3,4,1,3,4,few hours a day,3,20,1,female,village
1,4,1,5,1,5,5,1,2,2,few hours a day,3,19,2,female,city
2,5,1,5,1,5,5,1,5,3,few hours a day,2,20,2,female,city
3,5,2,5,4,4,1,5,5,2,most of the day,2,22,1,female,city
4,5,2,5,3,2,1,1,3,3,few hours a day,4,20,1,female,village
5,5,1,5,5,2,2,1,2,3,few hours a day,2,20,1,male,city
6,5,5,4,3,1,5,1,3,4,less than an hour a day,4,20,1,female,village
7,5,3,5,5,1,5,1,2,3,few hours a day,3,19,1,male,city
8,5,1,5,3,1,1,5,4,4,few hours a day,2,18,1,female,city
9,5,1,5,3,3,2,3,2,3,few hours a day,4,19,3,female,city
10,5,4,5,3,2,5,2,2,4,less than an hour a day,2,19,2,female,city
11,5,1,5,2,1,1,5,4,4,few hours a day,2,17,1,female,city
12,5,1,5,4,1,2,1,5,4,few hours a day,4,24,10,female,city
13,5,1,5,2,1,5,3,2,3,few hours a day,3,19,1,female,city
14,5,1,4,2,1,5,2,2,4,most of the day,5,22,1,female,city
15,1,1,5,5,3,1,1,4,4,few hours a day,3,18,0,male,city
16,5,4,5,1,1,5,5,2,3,few hours a day,3,19,2,female,city
17,5,1,5,3,1,5,4,4,1,few hours a day,1,20,1,female,village
18,5,4,5,3,5,4,1,4,3,few hours a day,4,18,2,male,city
19,5,3,3,2,3,1,4,2,2,few hours a day,2,18,1,male,city
20,5,3,5,5,2,3,2,2,3,few hours a day,2,20,1,male,city
21,5,1,5,4,3,5,1,4,3,few hours a day,2,24,1,male,city
22,5,3,5,3,1,5,5,3,3,few hours a day,5,22,1,female,city
23,5,1,5,2,2,5,3,3,2,few hours a day,2,20,3,female,city
24,5,3,5,4,2,3,5,4,4,few hours a day,3,19,1,female,city
25,5,2,5,2,3,3,5,2,4,few hours a day,2,20,1,female,city
26,5,2,5,3,2,5,1,4,5,few hours a day,5,22,1,female,city
27,4,4,5,2,1,5,5,3,4,few hours a day,3,19,1,female,city
28,5,3,5,5,1,3,4,3,3,few hours a day,3,20,2,male,village
29,5,3,5,5,2,2,5,3,3,few hours a day,4,19,2,female,village
30,4,3,5,2,1,3,5,2,3,few hours a day,2,25,1,male,city
31,4,1,4,4,2,1,2,2,3,less than an hour a day,4,22,1,female,city
32,5,3,5,4,1,5,5,1,3,few hours a day,1,20,4,female,city
33,5,1,4,5,2,5,4,3,4,few hours a day,2,27,1,female,city
34,5,1,5,4,3,1,2,2,2,few hours a day,3,20,5,male,city
35,5,1,5,1,1,5,4,3,3,few hours a day,3,19,1,female,village
36,5,1,5,4,3,5,5,2,5,few hours a day,5,18,1,female,city
37,5,1,4,3,3,3,,3,3,few hours a day,3,21,1,male,city
38,5,4,5,3,3,5,5,4,4,few hours a day,5,23,1,female,village
39,5,2,4,4,1,5,5,4,3,few hours a day,3,21,1,female,city
40,4,3,5,2,2,2,5,3,1,few hours a day,3,26,1,female,city
41,5,5,3,5,5,3,1,1,3,few hours a day,3,20,3,male,city
42,5,3,5,2,5,5,5,3,2,few hours a day,5,19,0,female,city
43,5,3,5,2,1,5,5,3,3,most of the day,3,20,1,female,city
44,4,4,5,4,3,5,5,4,3,few hours a day,4,25,1,female,village
45,5,3,5,5,5,4,5,4,1,most of the day,4,27,1,male,
46,5,2,5,4,2,4,1,2,4,few hours a day,3,21,1,female,city
47,5,2,5,2,2,5,1,2,3,few hours a day,3,19,1,female,city
48,5,2,3,2,2,2,2,5,3,few hours a day,4,20,1,female,village
49,5,2,5,2,1,5,5,4,3,few hours a day,4,20,1,female,city
50,4,1,5,3,4,5,2,3,3,few hours a day,4,19,2,female,city
51,5,3,5,2,5,4,5,2,4,less than an hour a day,5,19,1,female,city
52,5,2,5,5,3,3,5,3,3,few hours a day,1,21,2,female,village
53,5,2,5,3,1,1,5,3,4,less than an hour a day,3,18,4,female,city
54,5,4,5,5,1,1,3,3,3,few hours a day,3,21,2,female,city
55,5,5,5,4,2,5,5,3,2,few hours a day,5,23,1,female,village
56,5,1,5,3,4,3,3,5,3,few hours a day,3,20,2,female,city
57,5,1,5,5,1,5,5,2,5,few hours a day,5,21,1,female,city
58,5,3,5,3,3,3,1,5,4,few hours a day,5,19,1,male,village
59,5,4,5,4,1,1,2,3,3,few hours a day,1,22,1,male,city
60,5,1,5,4,4,1,2,4,3,most of the day,5,23,1,male,city
61,5,4,5,3,3,5,3,4,4,few hours a day,2,23,1,male,city
62,5,5,5,5,4,1,5,1,4,few hours a day,3,23,2,male,city
63,5,5,5,4,,3,,2,3,few hours a day,3,22,2,male,city
64,5,2,5,1,1,5,5,1,4,most of the day,1,18,0,female,city
65,4,4,5,5,2,3,1,3,3,few hours a day,1,17,1,male,city
66,4,5,4,3,5,1,1,3,3,less than an hour a day,3,20,1,male,village
67,3,1,5,2,4,4,1,2,2,few hours a day,3,24,0,female,village
68,5,4,5,2,5,4,4,4,2,few hours a day,1,18,1,female,village
69,5,1,5,2,1,4,1,3,4,most of the day,1,20,3,female,city
70,5,3,5,2,1,2,4,3,5,few hours a day,3,17,1,male,city
71,4,3,4,5,2,5,3,3,3,few hours a day,4,20,1,male,city
72,5,1,5,3,1,2,5,5,3,few hours a day,3,28,1,female,city
73,5,3,5,4,1,5,3,3,4,few hours a day,3,21,1,male,city
74,5,2,5,4,1,3,3,3,4,few hours a day,5,22,1,male,city
75,5,1,4,5,2,4,1,2,3,few hours a day,3,20,1,male,village
76,4,1,4,2,1,3,1,2,4,few hours a day,2,18,1,male,city
77,5,5,5,4,1,1,5,1,4,few hours a day,1,21,1,female,city
78,4,4,5,2,3,3,3,2,4,few hours a day,4,24,1,female,village
79,5,4,5,4,2,5,5,3,4,few hours a day,4,21,2,female,city
80,5,3,5,5,1,5,3,3,3,few hours a day,3,19,1,female,city
81,5,3,5,3,1,2,1,3,3,few hours a day,3,22,1,male,city
82,5,1,5,4,1,5,3,5,3,few hours a day,3,18,1,female,city
83,5,5,5,,1,5,5,2,2,few hours a day,3,22,2,female,city
84,5,1,5,5,1,5,3,3,4,few hours a day,1,19,0,female,city
85,5,4,5,4,5,1,2,3,2,most of the day,2,22,2,male,city
86,4,3,5,5,4,2,2,4,4,few hours a day,2,24,3,male,city
